"_SYSTEM_ID","Question External Id","Question Name"
"65f124ec8faad681fce74e9e","SUR_TEST_001_1710302422607","Email"
"65f124ee8faad681fce74ea4","SUR_TEST_002_1710302422607","Name"
"65f124ef8faad681fce74eaa","SUR_TEST_004_1710302422607","Ministry/Department"
,"SUR_TEST_004_1710302422607","Designation"
"65f124f08faad681fce74eb0","SUR_TEST_005_1710302422607","Which of the following technology domains are you most interested in learning about? (You may select more than one)"
"65f124f18faad681fce74eb6","SUR_TEST_006_1710302422607","What should be the preferred duration of the online course on a subject?"
"65f124f28faad681fce74ebc","SUR_TEST_007_1710302422607","How imprtant is hands-on or practical training in a course for you?"
"65f124f38faad681fce74ec2","SUR_TEST_008_1710302422607","Which format of learning do you prefer?"
"65f124f48faad681fce74ec8","SUR_TEST_009_1710302422607","What is your main goal for taking these courses?"
"65f124f58faad681fce74ece","SUR_TEST_010_1710302422607","After taking courses on emerging technologies, I would like to:
 
(Select all that apply) [we shall include improvement in service delivery/ program or scheme delivery]"
