"_SYSTEM_ID","Question External Id","Question Name"
"65f1222b5b7327f15ebc585a","SUR_TEST_001_1710301707242","Email"
"65f1222b5b7327f15ebc5860","SUR_TEST_002_1710301707242","Name"
"65f1222b5b7327f15ebc5866","SUR_TEST_004_1710301707242","Ministry/Department"
,"SUR_TEST_004_1710301707242","Designation"
"65f1222b5b7327f15ebc586c","SUR_TEST_005_1710301707242","Which of the following technology domains are you most interested in learning about? (You may select more than one)"
"65f1222b5b7327f15ebc5872","SUR_TEST_006_1710301707242","What should be the preferred duration of the online course on a subject?"
"65f1222b5b7327f15ebc5878","SUR_TEST_007_1710301707242","How imprtant is hands-on or practical training in a course for you?"
"65f1222b5b7327f15ebc587e","SUR_TEST_008_1710301707242","Which format of learning do you prefer?"
"65f1222b5b7327f15ebc5884","SUR_TEST_009_1710301707242","What is your main goal for taking these courses?"
"65f1222b5b7327f15ebc588a","SUR_TEST_010_1710301707242","After taking courses on emerging technologies, I would like to:
 
(Select all that apply) [we shall include improvement in service delivery/ program or scheme delivery]"
