"_SYSTEM_ID","Question External Id","Question Name"
"65f19b74d2bc56000784a593","SUR_TEST_001_1710332783300","Email"
"65f19b74d2bc56000784a599","SUR_TEST_002_1710332783300","Name"
"65f19b74d2bc56000784a59f","SUR_TEST_004_1710332783300","Ministry/Department"
,"SUR_TEST_004_1710332783300","Designation"
"65f19b74d2bc56000784a5a5","SUR_TEST_005_1710332783300","Which of the following technology domains are you most interested in learning about? (You may select more than one)"
"65f19b74d2bc56000784a5ab","SUR_TEST_006_1710332783300","What should be the preferred duration of the online course on a subject?"
"65f19b74d2bc56000784a5b1","SUR_TEST_007_1710332783300","How imprtant is hands-on or practical training in a course for you?"
"65f19b74d2bc56000784a5b7","SUR_TEST_008_1710332783300","Which format of learning do you prefer?"
"65f19b74d2bc56000784a5bd","SUR_TEST_009_1710332783300","What is your main goal for taking these courses?"
"65f19b74d2bc56000784a5c3","SUR_TEST_010_1710332783300","After taking courses on emerging technologies, I would like to:
 
(Select all that apply) [we shall include improvement in service delivery/ program or scheme delivery]"
