"_SYSTEM_ID","Question External Id","Question Name"
"65f18903d2bc56000784a292","SUR_TEST_001_1710328053240","Email"
"65f18903d2bc56000784a298","SUR_TEST_002_1710328053240","Name"
"65f18903d2bc56000784a29e","SUR_TEST_004_1710328053240","Ministry/Department"
,"SUR_TEST_004_1710328053240","Designation"
"65f18903d2bc56000784a2a4","SUR_TEST_005_1710328053240","Which of the following technology domains are you most interested in learning about? (You may select more than one)"
"65f18903d2bc56000784a2aa","SUR_TEST_006_1710328053240","What should be the preferred duration of the online course on a subject?"
"65f18903d2bc56000784a2b0","SUR_TEST_007_1710328053240","How imprtant is hands-on or practical training in a course for you?"
"65f18903d2bc56000784a2b6","SUR_TEST_008_1710328053240","Which format of learning do you prefer?"
"65f18903d2bc56000784a2bc","SUR_TEST_009_1710328053240","What is your main goal for taking these courses?"
"65f18903d2bc56000784a2c2","SUR_TEST_010_1710328053240","After taking courses on emerging technologies, I would like to:
 
(Select all that apply) [we shall include improvement in service delivery/ program or scheme delivery]"
