"_SYSTEM_ID","Question External Id","Question Name"
"65f18fdad2bc56000784a368","SUR_TEST_001_1710329815235","Email"
"65f18fdad2bc56000784a36e","SUR_TEST_002_1710329815235","Name"
"65f18fdad2bc56000784a374","SUR_TEST_004_1710329815235","Ministry/Department"
,"SUR_TEST_004_1710329815235","Designation"
"65f18fdad2bc56000784a37a","SUR_TEST_005_1710329815235","Which of the following technology domains are you most interested in learning about? (You may select more than one)"
"65f18fdad2bc56000784a380","SUR_TEST_006_1710329815235","What should be the preferred duration of the online course on a subject?"
"65f18fdad2bc56000784a386","SUR_TEST_007_1710329815235","How imprtant is hands-on or practical training in a course for you?"
"65f18fdad2bc56000784a38c","SUR_TEST_008_1710329815235","Which format of learning do you prefer?"
"65f18fdad2bc56000784a392","SUR_TEST_009_1710329815235","What is your main goal for taking these courses?"
"65f18fdad2bc56000784a398","SUR_TEST_010_1710329815235","After taking courses on emerging technologies, I would like to:
 
(Select all that apply) [we shall include improvement in service delivery/ program or scheme delivery]"
