"_SYSTEM_ID","Question External Id","Question Name"
"65efd0ac5b7327f15ebc57f0","SUR_TEST_001_1710215333087","Email"
"65efd0ac5b7327f15ebc57f6","SUR_TEST_002_1710215333087","Name"
"65efd0ac5b7327f15ebc57fc","SUR_TEST_004_1710215333087","Ministry/Department"
,"SUR_TEST_004_1710215333087","Designation"
"65efd0ac5b7327f15ebc5802","SUR_TEST_005_1710215333087","Which of the following technology domains are you most interested in learning about? (You may select more than one)"
"65efd0ac5b7327f15ebc5808","SUR_TEST_006_1710215333087","What should be the preferred duration of the online course on a subject?"
"65efd0ac5b7327f15ebc580e","SUR_TEST_007_1710215333087","How imprtant is hands-on or practical training in a course for you?"
"65efd0ac5b7327f15ebc5814","SUR_TEST_008_1710215333087","Which format of learning do you prefer?"
"65efd0ac5b7327f15ebc581a","SUR_TEST_009_1710215333087","What is your main goal for taking these courses?"
"65efd0ac5b7327f15ebc5820","SUR_TEST_010_1710215333087","After taking courses on emerging technologies, I would like to:
 
(Select all that apply) [we shall include improvement in service delivery/ program or scheme delivery]"
